#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2024-04-26 11:40:28.095
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 60.4725 V
#Offset: -0.00262502 V
#Relative: no
#Channel: Channel 2
#Range: 59.9539 V
#Offset: -0.00191686 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-1.325116275549314,0.09796706861409141,-1.455778864931077
104.2300949424216,-1.301194394726148,0.0808897382665347,-1.51892030876035
108.6391269170621,-1.297328991578261,0.09380387535885262,-1.767088500537156
113.2346651302716,-1.285607300681769,0.08984437918016464,-1.748603281315535
118.0245989730151,-1.277448985418167,0.08338209394809742,-1.698906141874438
123.0171515649861,-1.276675026363365,0.09847895754071585,-1.806562062258848
128.2208938716475,-1.259534773002064,0.0827256636978617,-1.855845423423979
133.6447594184397,-1.274487441398166,0.09243887893682926,-1.97251630595315
139.2980596274105,-1.284095511704339,0.1212989474343771,-2.13042593200565
145.1904998026008,-1.282636916055236,0.09712109324526855,-2.165174413524142
151.3321957916271,-1.281260443764393,0.1097608863889943,-2.298840946849658
157.7336913520643,-1.267270488140518,0.08540379901077455,-2.241268995116068
164.4059762524425,-1.26061281048269,0.07852171531645752,-2.250399801504415
171.360505138936,-1.272831836203638,0.09414164906593094,-2.754526584009
178.609217200126,-1.267817987211473,0.09068281178420598,-2.648490067382824
186.1645566636072,-1.239194582603974,0.08018252922766025,-2.490444985684334
194.0394941596158,-1.276440018729904,0.09840067681473308,-2.575475552868994
202.247548988362,-1.258005431590552,0.07513692569639584,-2.902187897377473
210.8028123292901,-1.262452860816472,0.09288257120685675,-2.891294500329536
219.7199714321139,-1.28684290986004,0.1452889790830808,-3.162186514053204
229.0143348311534,-1.245226904042795,0.09897476539346528,-3.251696463802034
238.7018586262665,-1.242408825852579,0.05687311670040283,-3.410912082063106
248.7991738754823,-1.252394834662856,0.07066992526098535,-3.437463360129996
259.3236151463755,-1.234488572721761,0.06823405516131358,-3.608325369924003
270.2932502751869,-1.228518280240919,0.06771879904894752,-3.866625161664217
281.7269113847843,-1.24060173694136,0.0691060419844749,-4.139105361528287
293.6442272147124,-1.216354543256333,0.05589344978083349,-4.218291398245924
306.0656568188346,-1.23453487819154,0.0614946956412059,-4.230175955661423
319.0125246884172,-1.224793597101664,0.04321095068023278,-4.645981743037424
332.5070573609534,-1.246871308437579,0.07612804978884971,-4.58477472521237
346.5724215775736,-1.210836329781685,0.02423236847836365,-4.72260672468893
361.2327640545542,-1.260112255796236,0.07393491297688182,-5.148650855173713
376.5132529371953,-1.22905970853097,0.04126927108053248,-5.242494293882373
392.4401210072382,-1.243314504728713,0.05347240252443121,-5.570097682622162
409.0407107179982,-1.256205295694097,0.06336324845746472,-5.848726006366576
426.3435211345256,-1.262338004260963,0.07547593294495902,-6.025003015647556
